severity,seed,probe,main_a1_snr_db,reference_a1_snr_db,absolute_difference_db
0.0,503,5Hz,31.882958579384464,31.883053499334423,9.49199499586939e-05
1.0,37,2Hz,31.537846830247595,31.491589161303537,0.04625766894405814
1.0,37,5Hz,31.85091940395969,31.8306552922205,0.020264111739191293
1.0,53,2Hz,31.534821556078327,31.526669917791516,0.008151638286811647
1.0,53,5Hz,31.86831895932279,31.868551081432823,0.0002321221100345383
1.0,71,2Hz,31.514972648849955,31.520749131961303,0.005776483111347375
1.0,71,5Hz,31.871364928765363,31.831090502015194,0.04027442675016957
1.0,89,2Hz,31.53476521419214,31.534541152771077,0.0002240614210649028
1.0,89,5Hz,31.816783142476623,31.807134951258774,0.00964819121784899
1.0,107,2Hz,31.52727557053077,31.524454011488952,0.002821559041816357
1.0,107,5Hz,31.828618213716055,31.612656810458933,0.215961403257122
1.0,127,2Hz,31.520674777815746,31.51183471467636,0.008840063139384569
1.0,127,5Hz,31.849951420838973,31.85772649472119,0.007775073882218209
1.0,149,2Hz,31.531597435768887,31.545001916153147,0.013404480384259898
1.0,149,5Hz,31.89535919793899,31.9029227341964,0.00756353625741113
1.0,173,2Hz,31.542331366822538,31.50637832142918,0.035953045393355865
1.0,173,5Hz,31.872688604714497,31.896057765241874,0.02336916052737692
1.0,197,2Hz,31.52825591414341,31.537963956226093,0.009708042082682056
1.0,197,5Hz,31.90197098501613,31.897818913654696,0.004152071361435361
1.0,223,2Hz,31.482752597687224,31.50324931304036,0.020496715353136352
1.0,223,5Hz,31.80369707935625,31.830261491317295,0.026564411961043533
1.0,251,2Hz,31.53710588378467,31.539642057464302,0.0025361736796334355
1.0,251,5Hz,31.942193153646198,31.914716520328007,0.027476633318190835
1.0,281,2Hz,31.53440449812799,31.533990173502737,0.00041432462525392566
1.0,281,5Hz,31.80837849596717,31.803015713984237,0.005362781982931608
1.0,313,2Hz,31.492569968707297,31.558756650538772,0.06618668183147491
1.0,313,5Hz,31.789882221317765,31.88401281400259,0.09413059268482371
1.0,347,2Hz,31.530242802861494,31.51847552417701,0.01176727868448424
1.0,347,5Hz,31.87853923507877,31.84966242021785,0.028876814860918643
1.0,383,2Hz,31.527461102825463,31.545661967080783,0.01820086425531997
1.0,383,5Hz,31.741897889445923,31.884206423355188,0.14230853390926512
1.0,421,2Hz,31.563460618547843,31.53892996255849,0.024530655989352113
1.0,421,5Hz,31.90318033276359,31.852798198263578,0.050382134500011944
1.0,461,2Hz,31.52723566406155,31.525849545922714,0.0013861181388357124
1.0,461,5Hz,31.830566943352455,31.823465571400238,0.00710137195221705
1.0,503,2Hz,31.540946693089108,31.536318302154413,0.004628390934694693
1.0,503,5Hz,31.83034368663214,31.861849806722535,0.031506120090394774
