stage,seed,severity,condition,probe,network,a1_frequency_passed,target_response_coverage,response_coverage_passed,transfer_valid,evoked_fc_split_abs_z,fc_valid_fraction,functional_connectivity_valid,latency_valid_fraction,median_pulse_tail_energy_fraction,response_latency_valid,target_frequency_qa_valid_fraction,frequency_locked_transfer_valid,transfer_split_abs_log2,transfer_nonstationary_flag,required_metric_gate_passed
complete_main,149,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.0031320743896752212,1.0,True,,,False,1.0,True,0.0003045919451841955,False,True
complete_main,149,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.0001420264246472236,1.0,True,,,False,1.0,True,0.00032400766887401614,False,True
complete_main,149,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019195694209050984,1.0,True,,,False,1.0,True,8.783087265558707e-05,False,True
complete_main,173,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.489129984690806e-08,True,,False,,False,True
complete_main,173,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.332173784716587e-08,True,,False,,False,True
complete_main,173,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.0136616337630322,1.0,True,,,False,1.0,True,0.0009054330235662587,False,True
complete_main,173,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.00314869278985741,1.0,True,,,False,1.0,True,0.00030483655410112263,False,True
complete_main,173,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00014522115259274493,1.0,True,,,False,1.0,True,0.00032526095239217826,False,True
complete_main,173,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019161894796293488,1.0,True,,,False,1.0,True,8.859267862952654e-05,False,True
complete_main,197,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.35130423440464e-08,True,,False,,False,True
complete_main,197,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.1927174319311824e-08,True,,False,,False,True
complete_main,197,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.013830167306412733,1.0,True,,,False,1.0,True,0.0009130118280284503,False,True
complete_main,197,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.003190339223017702,1.0,True,,,False,1.0,True,0.0003063998539983641,False,True
complete_main,197,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00015585730086575822,1.0,True,,,False,1.0,True,0.0003284040821402087,False,True
complete_main,197,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.0001899189825238512,1.0,True,,,False,1.0,True,8.968222028580884e-05,False,True
complete_main,223,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.4402304260299693e-08,True,,False,,False,True
complete_main,223,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.2619477206383663e-08,True,,False,,False,True
complete_main,223,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.013751216339687122,1.0,True,,,False,1.0,True,0.0009060189416422613,False,True
complete_main,223,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.003180636627227784,1.0,True,,,False,1.0,True,0.00030423375333827484,False,True
complete_main,223,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00015250403776789767,1.0,True,,,False,1.0,True,0.0003269328011152891,False,True
complete_main,223,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019167306088330172,1.0,True,,,False,1.0,True,8.8866528236559e-05,False,True
complete_main,251,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.4780906913808236e-08,True,,False,,False,True
complete_main,251,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.3298564221289692e-08,True,,False,,False,True
complete_main,251,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.01364818983339866,1.0,True,,,False,1.0,True,0.0009045408424171479,False,True
complete_main,251,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.003144346462529146,1.0,True,,,False,1.0,True,0.0003049178972724999,False,True
complete_main,251,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.0001449414226808443,1.0,True,,,False,1.0,True,0.0003249759874304483,False,True
complete_main,251,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019228925070269298,1.0,True,,,False,1.0,True,8.841037798152957e-05,False,True
complete_main,281,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.527893832941864e-08,True,,False,,False,True
complete_main,281,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.3904469899531775e-08,True,,False,,False,True
complete_main,281,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.013607972211792774,1.0,True,,,False,1.0,True,0.0009041177905890319,False,True
complete_main,281,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.0031409288956276704,1.0,True,,,False,1.0,True,0.0003052828333624703,False,True
complete_main,281,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00014207757468676085,1.0,True,,,False,1.0,True,0.00032359926442876864,False,True
complete_main,281,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019185897734574908,1.0,True,,,False,1.0,True,8.785069294849162e-05,False,True
complete_main,313,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.56449760799419e-08,True,,False,,False,True
complete_main,313,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.4150515671363462e-08,True,,False,,False,True
complete_main,313,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.01354417056677315,1.0,True,,,False,1.0,True,0.0009015885700075266,False,True
complete_main,313,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.0031246861576450513,1.0,True,,,False,1.0,True,0.00030441518048488284,False,True
complete_main,313,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.0001397150682367343,1.0,True,,,False,1.0,True,0.00032262540900349567,False,True
complete_main,313,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019201860216910838,1.0,True,,,False,1.0,True,8.785959641770548e-05,False,True
complete_main,347,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.638244300716347e-08,True,,False,,False,True
complete_main,347,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.4668233736296632e-08,True,,False,,False,True
complete_main,347,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.01351864906090583,1.0,True,,,False,1.0,True,0.0009002395669178999,False,True
complete_main,347,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.0031293105473615412,1.0,True,,,False,1.0,True,0.0003044120343985871,False,True
complete_main,347,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00013794078165596524,1.0,True,,,False,1.0,True,0.0003233412302972814,False,True
complete_main,347,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019450684317035005,1.0,True,,,False,1.0,True,8.80282975655364e-05,False,True
complete_main,383,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.641460660066512e-08,True,,False,,False,True
complete_main,383,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.491443371601773e-08,True,,False,,False,True
complete_main,383,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.013421971049341508,1.0,True,,,False,1.0,True,0.0008943665137666104,False,True
