condition,severity,seed,probe,network,target_response_coverage,transfer_split_abs_log2,transfer_nonstationary_flag,transfer_log2_slope_per_s,locked_transfer_segment_median,median_target_snr_db,median_target_phase_consistency,target_frequency_qa_valid_fraction,evoked_fc_split_abs_z
Intermediate AD-like perturbation,0.5,313,2Hz,episodic_expanded,1.0,2.4732488819424696,True,0.7379058984144784,0.007016764523049183,-2.0689635571957092,0.24570772158919835,0.0,0.3281387627883795
Intermediate AD-like perturbation,0.5,313,2Hz,semantic_expanded,1.0,3.0909407993275506,True,0.8514737845098254,0.011574673456792356,-1.8755066423364104,0.1729110476006952,0.0,0.2689507666714881
Intermediate AD-like perturbation,0.5,347,2Hz,episodic_expanded,1.0,2.559309210412656,True,0.4299971617728865,0.0010509386538999224,-1.040627363733855,0.32977847825200884,0.3157894736842105,0.08714569997285189
Intermediate AD-like perturbation,0.5,347,2Hz,semantic_expanded,1.0,2.479222173211304,True,0.4458067561234151,0.0007147149587003117,-1.7891979037718255,0.20641402280196525,0.15384615384615385,0.04279881865126488
Intermediate AD-like perturbation,0.5,383,2Hz,episodic_expanded,1.0,1.685124899852974,True,0.6659333807426215,0.005190832400929828,-5.07388563425333,0.33352741617601234,0.05263157894736842,0.038907422318377155
Intermediate AD-like perturbation,0.5,383,2Hz,semantic_expanded,1.0,1.8535991756938708,True,0.7544866868688784,0.006449676295564612,-6.718397399538835,0.19448263763749768,0.0,0.026211312282014648
Intermediate AD-like perturbation,0.5,421,2Hz,episodic_expanded,1.0,3.03393934293321,True,0.5013200354008504,0.0011746028857302377,2.6399129595126833,0.42047971911607207,0.8421052631578947,0.14882268569868906
Intermediate AD-like perturbation,0.5,421,2Hz,semantic_expanded,1.0,3.364394361682354,True,0.5307312894551668,0.0006698889974149088,1.227109685841976,0.18203703784571665,0.23076923076923078,0.04903762716782026
Intermediate AD-like perturbation,0.5,461,2Hz,episodic_expanded,1.0,1.759879796061588,True,0.2663614535471173,0.0029326638478396495,-1.9879964813731048,0.21868894457506535,0.21052631578947367,0.02864595264940445
Intermediate AD-like perturbation,0.5,461,2Hz,semantic_expanded,1.0,2.016526204227121,True,0.2942449158074513,0.0020731203795096324,-1.5469720780195182,0.16104779639018293,0.07692307692307693,0.024712915982811362
Intermediate AD-like perturbation,0.5,503,2Hz,episodic_expanded,1.0,1.5361187874852693,True,0.43141526441698846,0.001993215162403869,3.262289041910882,0.3214561821976601,0.8421052631578947,0.025229207588802306
Intermediate AD-like perturbation,0.5,503,2Hz,semantic_expanded,1.0,1.9255426374598763,True,0.5305706875446184,0.00231850953164634,-0.4650799837697771,0.21435233253043207,0.38461538461538464,0.007201806941342231
High AD-like perturbation,1.0,11,2Hz,episodic_expanded,1.0,1.2508489468236665,True,0.26225854463734377,0.0026755119483070455,8.373510476754223,0.2417506618512262,0.6842105263157895,0.027176237865368658
High AD-like perturbation,1.0,11,2Hz,semantic_expanded,1.0,0.9896995154316053,False,0.21362900082713354,0.017480584540386094,-3.099825209301178,0.12317934432541373,0.15384615384615385,0.008684215553425596
High AD-like perturbation,1.0,23,2Hz,episodic_expanded,1.0,1.4305658662827354,True,0.2800617170559285,0.002576711218526896,7.187489120311149,0.26043323161851695,0.631578947368421,0.008804559032785396
High AD-like perturbation,1.0,23,2Hz,semantic_expanded,1.0,1.0076176750989956,True,0.21812259216592633,0.01773981394388052,-2.475293379573583,0.1458102248959485,0.23076923076923078,0.005612585019269534
High AD-like perturbation,1.0,37,2Hz,episodic_expanded,1.0,1.6606396946504134,True,0.3653506874120946,0.0029348773879599604,6.0099485664373775,0.2925161296332385,0.7368421052631579,0.008610816474040266
High AD-like perturbation,1.0,37,2Hz,semantic_expanded,1.0,0.9234201440209594,False,0.2035501261519535,0.01790856763471405,-2.695785917414627,0.17584363760084568,0.3076923076923077,0.002251035191020316
High AD-like perturbation,1.0,53,2Hz,episodic_expanded,1.0,1.6648588187708924,True,0.3502177549429819,0.002786013305227222,6.8941952216477285,0.12197204027814645,0.21052631578947367,0.020625802912105817
High AD-like perturbation,1.0,53,2Hz,semantic_expanded,1.0,1.0287629082104899,True,0.22271775581313485,0.01826619925717986,-2.966213616590179,0.17394864965445078,0.07692307692307693,0.006122253317389371
High AD-like perturbation,1.0,71,2Hz,episodic_expanded,1.0,2.6844789108498546,True,0.47161120232103787,0.002869365255135784,-0.02479035160072763,0.3487990986638547,0.42105263157894735,0.008524561660304082
High AD-like perturbation,1.0,71,2Hz,semantic_expanded,1.0,1.1292432158561518,True,0.23337264968282492,0.01677910491517515,-3.8144353499150863,0.18993943830332238,0.23076923076923078,0.0031666732444236706
High AD-like perturbation,1.0,89,2Hz,episodic_expanded,1.0,1.2914769619150523,True,0.23097261130407398,0.0025638496308007176,8.84285236420861,0.19510822907822467,0.42105263157894735,0.03127487326826919
High AD-like perturbation,1.0,89,2Hz,semantic_expanded,1.0,0.9475818771524064,False,0.20692458145594925,0.01740721250449282,-1.9836500463803284,0.14229885173881476,0.15384615384615385,0.008031725313300956
High AD-like perturbation,1.0,107,2Hz,episodic_expanded,1.0,1.6102741687695603,True,0.2805093000530609,0.002568604920261994,6.879711623882151,0.14202683972193914,0.2631578947368421,0.013559382127923056
High AD-like perturbation,1.0,107,2Hz,semantic_expanded,1.0,1.3184303194846398,True,0.2639673446047483,0.017133241116394273,-3.646678176964233,0.1317272711909803,0.15384615384615385,0.005551930356879578
High AD-like perturbation,1.0,127,2Hz,episodic_expanded,1.0,2.256800451938931,True,0.4265094679128494,0.003177365923400943,1.3777365219063629,0.33744545747435195,0.5263157894736842,0.016573707124668574
High AD-like perturbation,1.0,127,2Hz,semantic_expanded,1.0,1.2589415817952276,True,0.25894283831753956,0.018296599522439554,-5.347666751248481,0.15609285491323172,0.07692307692307693,0.006675816560588636
High AD-like perturbation,1.0,149,2Hz,episodic_expanded,1.0,1.5373648852979866,True,0.361698265996792,0.0030183664783462565,6.833116076685563,0.1874431872614654,0.47368421052631576,0.0013096567571407244
High AD-like perturbation,1.0,149,2Hz,semantic_expanded,1.0,0.8870724141087628,False,0.22314140196499085,0.018651603914508957,-2.6626342528252422,0.1369334922656116,0.0,0.0033397104923439842
High AD-like perturbation,1.0,173,2Hz,episodic_expanded,1.0,1.3789123403686048,True,0.30982809383509585,0.0029760291358596714,5.462679471786754,0.20717305524787558,0.47368421052631576,0.022014092405793075
High AD-like perturbation,1.0,173,2Hz,semantic_expanded,1.0,1.1483500627941903,True,0.23013366336443128,0.01654897152603478,-1.8920525770695227,0.13808743434765602,0.0,0.006052993217569911
High AD-like perturbation,1.0,197,2Hz,episodic_expanded,1.0,1.3921836707937065,True,0.3091344655065107,0.0027217953826943584,7.564791406341461,0.3390619862572106,0.7894736842105263,0.019705670635705816
High AD-like perturbation,1.0,197,2Hz,semantic_expanded,1.0,0.8607104825298937,False,0.19282446799088715,0.018557212477650294,-1.6638568046516136,0.1375767990318101,0.23076923076923078,0.0032702557901466214
High AD-like perturbation,1.0,223,2Hz,episodic_expanded,1.0,2.5951713257471805,True,0.48584282460546774,0.0027185707614878502,-0.7610765713337665,0.10449145382697161,0.15789473684210525,0.056194366468029555
High AD-like perturbation,1.0,223,2Hz,semantic_expanded,1.0,1.4381621348792821,True,0.28393710870918726,0.018275094744368958,-4.859557652343786,0.10168330875960392,0.07692307692307693,0.02292471427885141
High AD-like perturbation,1.0,251,2Hz,episodic_expanded,1.0,1.6154379829435093,True,0.2859596631555394,0.0024877040768327445,6.066805258294967,0.2983699079802847,0.631578947368421,0.029588519494421067
