seed,probe,outcome,unit,main_interaction,reference_interaction,signed_main_minus_reference,absolute_main_minus_reference
107,5Hz,transfer_gain,log2 ratio,2.36447078164832,1.3685614076595218,0.9959093739887983,0.9959093739887983
127,5Hz,transfer_gain,log2 ratio,1.7685253195122526,1.5265981510247926,0.24192716848746,0.24192716848746
149,5Hz,transfer_gain,log2 ratio,2.196601444448415,2.13317898392423,0.0634224605241851,0.0634224605241851
173,5Hz,transfer_gain,log2 ratio,2.657075255531466,1.653660028424194,1.003415227107272,1.003415227107272
197,5Hz,transfer_gain,log2 ratio,2.2218282257058526,2.4442333193690686,-0.22240509366321604,0.22240509366321604
223,5Hz,transfer_gain,log2 ratio,0.946098886619966,0.09164792047925907,0.8544509661407069,0.8544509661407069
251,5Hz,transfer_gain,log2 ratio,2.2005019839335374,2.747528250114547,-0.5470262661810095,0.5470262661810095
281,5Hz,transfer_gain,log2 ratio,2.4784090868455833,2.4964167253921934,-0.01800763854661014,0.01800763854661014
313,5Hz,transfer_gain,log2 ratio,2.275469842528322,1.8437896499100885,0.4316801926182334,0.4316801926182334
347,5Hz,transfer_gain,log2 ratio,2.277286017398999,1.6220729135797312,0.6552131038192677,0.6552131038192677
383,5Hz,transfer_gain,log2 ratio,1.774359932326683,1.6756191943113272,0.09874073801535577,0.09874073801535577
421,5Hz,transfer_gain,log2 ratio,1.180418543952146,2.2772314010767696,-1.0968128571246236,1.0968128571246236
461,5Hz,transfer_gain,log2 ratio,2.24609719855916,2.1566955159954313,0.08940168256372871,0.08940168256372871
503,5Hz,transfer_gain,log2 ratio,2.611831555706262,2.5879931964777834,0.023838359228478545,0.023838359228478545
11,2Hz,functional_connectivity,Fisher-z difference,0.06633255384170189,0.06825948179996821,-0.0019269279582663223,0.0019269279582663223
23,2Hz,functional_connectivity,Fisher-z difference,0.06236696987898771,0.06683312502796568,-0.004466155148977968,0.004466155148977968
37,2Hz,functional_connectivity,Fisher-z difference,0.06252056726625632,0.06458294639640005,-0.002062379130143732,0.002062379130143732
53,2Hz,functional_connectivity,Fisher-z difference,0.06916320392014086,0.06945832873995261,-0.000295124819811754,0.000295124819811754
71,2Hz,functional_connectivity,Fisher-z difference,0.06091384978192593,0.07027059441173389,-0.009356744629807956,0.009356744629807956
89,2Hz,functional_connectivity,Fisher-z difference,0.06697703445356673,0.06841921332619183,-0.0014421788726250995,0.0014421788726250995
107,2Hz,functional_connectivity,Fisher-z difference,0.06513219917044388,0.06991823883967241,-0.004786039669228526,0.004786039669228526
127,2Hz,functional_connectivity,Fisher-z difference,0.05199475054318459,0.04377130168332588,0.008223448859858706,0.008223448859858706
149,2Hz,functional_connectivity,Fisher-z difference,0.06484559107256116,0.06286869445884635,0.001976896613714807,0.001976896613714807
173,2Hz,functional_connectivity,Fisher-z difference,0.07253766563768371,0.0646349016099439,0.007902764027739817,0.007902764027739817
197,2Hz,functional_connectivity,Fisher-z difference,0.06382168822095169,0.07027309971916118,-0.006451411498209492,0.006451411498209492
223,2Hz,functional_connectivity,Fisher-z difference,0.037864434864593566,0.0331795288803427,0.0046849059842508645,0.0046849059842508645
251,2Hz,functional_connectivity,Fisher-z difference,0.06436350127994928,0.05985419358085897,0.004509307699090304,0.004509307699090304
281,2Hz,functional_connectivity,Fisher-z difference,0.06887063205509492,0.07047757492338036,-0.0016069428682854436,0.0016069428682854436
313,2Hz,functional_connectivity,Fisher-z difference,0.069287149180421,0.04615901898104369,0.023128130199377317,0.023128130199377317
347,2Hz,functional_connectivity,Fisher-z difference,0.0715441565954178,0.07323926553892957,-0.0016951089435117694,0.0016951089435117694
383,2Hz,functional_connectivity,Fisher-z difference,0.06607419810692194,0.02446221639241708,0.041611981714504864,0.041611981714504864
421,2Hz,functional_connectivity,Fisher-z difference,0.05293863854749947,0.06860063862539345,-0.01566200007789398,0.01566200007789398
