severity,seed,probe,network,metric,difference,old_pointwise_tolerance,within_old_pointwise_tolerance
1.0,347,5Hz,episodic_expanded,a1_snr_db,0.028876814860918643,1.0,True
1.0,347,5Hz,semantic_expanded,a1_snr_db,0.028876814860918643,1.0,True
1.0,383,5Hz,episodic_expanded,a1_snr_db,0.14230853390926512,1.0,True
1.0,383,5Hz,semantic_expanded,a1_snr_db,0.14230853390926512,1.0,True
1.0,421,5Hz,episodic_expanded,a1_snr_db,0.050382134500011944,1.0,True
1.0,421,5Hz,semantic_expanded,a1_snr_db,0.050382134500011944,1.0,True
1.0,461,5Hz,episodic_expanded,a1_snr_db,0.00710137195221705,1.0,True
1.0,461,5Hz,semantic_expanded,a1_snr_db,0.00710137195221705,1.0,True
1.0,503,5Hz,episodic_expanded,a1_snr_db,0.031506120090394774,1.0,True
1.0,503,5Hz,semantic_expanded,a1_snr_db,0.031506120090394774,1.0,True
0.0,11,2Hz,episodic_expanded,functional_connectivity,0.008520956342797259,0.05,True
0.0,11,2Hz,semantic_expanded,functional_connectivity,0.009565106195347006,0.05,True
0.0,23,2Hz,episodic_expanded,functional_connectivity,0.0085204760961477,0.05,True
0.0,23,2Hz,semantic_expanded,functional_connectivity,0.009575917699201408,0.05,True
0.0,37,2Hz,episodic_expanded,functional_connectivity,0.008532417904781653,0.05,True
0.0,37,2Hz,semantic_expanded,functional_connectivity,0.009604216713730906,0.05,True
0.0,53,2Hz,episodic_expanded,functional_connectivity,0.008518377031330182,0.05,True
0.0,53,2Hz,semantic_expanded,functional_connectivity,0.009563059505916183,0.05,True
0.0,71,2Hz,episodic_expanded,functional_connectivity,0.008529824281302112,0.05,True
0.0,71,2Hz,semantic_expanded,functional_connectivity,0.009592234955776657,0.05,True
0.0,89,2Hz,episodic_expanded,functional_connectivity,0.008514259798287682,0.05,True
0.0,89,2Hz,semantic_expanded,functional_connectivity,0.00954628014536496,0.05,True
0.0,107,2Hz,episodic_expanded,functional_connectivity,0.00851767718610752,0.05,True
0.0,107,2Hz,semantic_expanded,functional_connectivity,0.009539251528345893,0.05,True
0.0,127,2Hz,episodic_expanded,functional_connectivity,0.008518569391260833,0.05,True
0.0,127,2Hz,semantic_expanded,functional_connectivity,0.009576597646681506,0.05,True
0.0,149,2Hz,episodic_expanded,functional_connectivity,0.008534244992152829,0.05,True
0.0,149,2Hz,semantic_expanded,functional_connectivity,0.009615151809776012,0.05,True
0.0,173,2Hz,episodic_expanded,functional_connectivity,0.008522515137863174,0.05,True
0.0,173,2Hz,semantic_expanded,functional_connectivity,0.009561557127302223,0.05,True
0.0,197,2Hz,episodic_expanded,functional_connectivity,0.008511836308144005,0.05,True
0.0,197,2Hz,semantic_expanded,functional_connectivity,0.009508580140608736,0.05,True
0.0,223,2Hz,episodic_expanded,functional_connectivity,0.00851873833285266,0.05,True
0.0,223,2Hz,semantic_expanded,functional_connectivity,0.009555364219830498,0.05,True
0.0,251,2Hz,episodic_expanded,functional_connectivity,0.008523751655585166,0.05,True
0.0,251,2Hz,semantic_expanded,functional_connectivity,0.009575500967846207,0.05,True
0.0,281,2Hz,episodic_expanded,functional_connectivity,0.008529719323532525,0.05,True
0.0,281,2Hz,semantic_expanded,functional_connectivity,0.009603772770492291,0.05,True
0.0,313,2Hz,episodic_expanded,functional_connectivity,0.008519411972565116,0.05,True
0.0,313,2Hz,semantic_expanded,functional_connectivity,0.009557731306181871,0.05,True
0.0,347,2Hz,episodic_expanded,functional_connectivity,0.00852621821748567,0.05,True
0.0,347,2Hz,semantic_expanded,functional_connectivity,0.009617068255125982,0.05,True
0.0,383,2Hz,episodic_expanded,functional_connectivity,0.008532759307087634,0.05,True
0.0,383,2Hz,semantic_expanded,functional_connectivity,0.009654583538662997,0.05,True
0.0,421,2Hz,episodic_expanded,functional_connectivity,0.008517730396604417,0.05,True
0.0,421,2Hz,semantic_expanded,functional_connectivity,0.009567692796593086,0.05,True
0.0,461,2Hz,episodic_expanded,functional_connectivity,0.008524771745034077,0.05,True
0.0,461,2Hz,semantic_expanded,functional_connectivity,0.00958964978679111,0.05,True
0.0,503,2Hz,episodic_expanded,functional_connectivity,0.00852597951423828,0.05,True
0.0,503,2Hz,semantic_expanded,functional_connectivity,0.009581870947616089,0.05,True
1.0,11,2Hz,episodic_expanded,functional_connectivity,0.0017333862385133236,0.05,True
