seed,outcome,probe,full_field_interaction,local_fixed_interaction,absolute_contrast_attenuation_percent
37,functional_connectivity,2Hz,0.06252056726625632,0.06677116908890568,-6.798725617039469
53,functional_connectivity,2Hz,0.06916320392014086,0.07060485488419088,-2.0844190007661023
71,functional_connectivity,2Hz,0.06091384978192593,0.068409802847059,-12.305827150917036
89,functional_connectivity,2Hz,0.06697703445356673,0.06902585780078851,-3.058993823684708
107,functional_connectivity,2Hz,0.06513219917044388,0.06902084014476095,-5.970381813979464
127,functional_connectivity,2Hz,0.05199475054318459,0.07427098097057261,-42.84322973890673
149,functional_connectivity,2Hz,0.06484559107256116,0.06959881874366936,-7.3300706994704035
173,functional_connectivity,2Hz,0.07253766563768371,0.07213430517583896,0.5560703646840248
197,functional_connectivity,2Hz,0.06382168822095169,0.07740991620852133,-21.29092533642636
223,functional_connectivity,2Hz,0.037864434864593566,0.07619269956833286,-101.2249749423289
251,functional_connectivity,2Hz,0.06436350127994928,0.07270031163405255,-12.952698638693217
281,functional_connectivity,2Hz,0.06887063205509492,0.0725709364569993,-5.372833516242781
313,functional_connectivity,2Hz,0.069287149180421,0.07887989309915966,-13.844910682873568
347,functional_connectivity,2Hz,0.0715441565954178,0.07937822181337095,-10.949972144133024
383,functional_connectivity,2Hz,0.06607419810692194,0.07311610751816433,-10.657578318010152
421,functional_connectivity,2Hz,0.05293863854749947,0.07302870258793703,-37.94971799739739
461,functional_connectivity,2Hz,0.07589809074279152,0.07398985802469049,2.5142038481149376
503,functional_connectivity,2Hz,0.06588308811998012,0.07425967148050505,-12.714315007927812
11,functional_connectivity,5Hz,0.06364267738804252,0.08545810115012653,-34.27797927021654
23,functional_connectivity,5Hz,0.06253310037630633,0.09615533056087933,-53.76709291918045
37,functional_connectivity,5Hz,0.06190370639866094,0.08148708317360231,-31.63522495539135
53,functional_connectivity,5Hz,0.07436420605025762,0.07908373166149185,-6.3465017135322155
71,functional_connectivity,5Hz,0.06540988270397086,0.09363979920601784,-43.158488190245926
89,functional_connectivity,5Hz,0.07940678015001024,0.10018859708960992,-26.171338140571866
107,functional_connectivity,5Hz,0.08851297506720157,0.08388548476884217,5.22803610978626
127,functional_connectivity,5Hz,0.05944146540630846,0.0717653185075291,-20.732754512328565
149,functional_connectivity,5Hz,0.0958176358551206,0.07950795917600906,17.02158118759297
173,functional_connectivity,5Hz,0.07821033129538169,0.09263276219558736,-18.440570013360013
197,functional_connectivity,5Hz,0.06012394686592093,0.08337286614087613,-38.66831851009602
223,functional_connectivity,5Hz,0.01703268467011898,0.08912877865062474,-423.28085898863844
251,functional_connectivity,5Hz,0.06860586972302851,0.08512380867077951,-24.076568104793704
281,functional_connectivity,5Hz,0.0678852851413525,0.08157318031576866,-20.16327271206839
313,functional_connectivity,5Hz,0.07816920037167185,0.08573022115367901,-9.672634165447125
347,functional_connectivity,5Hz,0.0797073953122378,0.08339853728476387,-4.630865126211625
383,functional_connectivity,5Hz,0.07183256291893558,0.08463117435645762,-17.817283579266842
421,functional_connectivity,5Hz,0.07424241112944774,0.0791604346145689,-6.624277700984393
461,functional_connectivity,5Hz,0.06680327328992774,0.09153757703094811,-37.02558650632719
503,functional_connectivity,5Hz,0.06252975255582749,0.08914198991027389,-42.55931979050549
11,response_latency,pulse,227.5,54.0,76.26373626373626
23,response_latency,pulse,312.0,52.5,83.17307692307692
37,response_latency,pulse,336.5,1106.0,-228.6775631500743
53,response_latency,pulse,536.0,298.0,44.40298507462687
71,response_latency,pulse,437.5,131.0,70.05714285714286
89,response_latency,pulse,281.5,60.5,78.50799289520425
107,response_latency,pulse,429.0,44.0,89.74358974358975
127,response_latency,pulse,320.5,62.5,80.49921996879876
149,response_latency,pulse,455.0,36.0,92.08791208791209
173,response_latency,pulse,533.5,53.0,90.06560449859418
197,response_latency,pulse,283.0,48.0,83.03886925795054
223,response_latency,pulse,472.5,-126.5,73.22751322751323
251,response_latency,pulse,267.0,659.5,-147.00374531835206
281,response_latency,pulse,298.0,73.0,75.50335570469798
313,response_latency,pulse,375.0,283.0,24.533333333333328
347,response_latency,pulse,238.0,,
383,response_latency,pulse,216.0,37.5,82.63888888888889
421,response_latency,pulse,489.0,48.0,90.1840490797546
461,response_latency,pulse,369.0,56.5,84.68834688346884
503,response_latency,pulse,393.0,65.5,83.33333333333334
