scope,variant,condition,severity,seed,probe,global_coupling,input_peak_per_ms,dt_ms,pair,semantic_network,episodic_network,outcome,unit,semantic_value,episodic_value,semantic_minus_episodic_interaction
main_full_field,full_field,Intermediate AD-like perturbation,0.5,197,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.899826680638052,10.308078210032471,1.5917484706055802
main_full_field,full_field,Intermediate AD-like perturbation,0.5,223,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.115015682466423,9.437255526120605,1.6777601563458173
main_full_field,full_field,Intermediate AD-like perturbation,0.5,251,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.335651421456301,7.9237903700930925,1.4118610513632088
main_full_field,full_field,Intermediate AD-like perturbation,0.5,281,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.056266523729349,8.992500006493222,2.063766517236127
main_full_field,full_field,Intermediate AD-like perturbation,0.5,313,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.636875918089608,9.766805183919352,1.8700707341702554
main_full_field,full_field,Intermediate AD-like perturbation,0.5,347,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.379972174412433,7.242600198660588,1.1373719757518455
main_full_field,full_field,Intermediate AD-like perturbation,0.5,383,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.621350016997177,8.949702812390774,1.671647204606403
main_full_field,full_field,Intermediate AD-like perturbation,0.5,421,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.360129653526323,7.230778601666956,1.1293510518593672
main_full_field,full_field,Intermediate AD-like perturbation,0.5,461,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.025900352163623,8.742000972495534,1.2838993796680889
main_full_field,full_field,Intermediate AD-like perturbation,0.5,503,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.266427510027537,7.544866949337227,1.7215605606903095
main_full_field,full_field,Baseline,0.0,11,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,23,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,37,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,53,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,71,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,89,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,107,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,127,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,149,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,173,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,197,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,223,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,251,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,281,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,313,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,347,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,383,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,421,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,461,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,503,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,High AD-like perturbation,1.0,11,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.010696432689167,6.1318298665393325,2.878866566149835
main_full_field,full_field,High AD-like perturbation,1.0,23,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.995276771616759,6.055216089371301,2.9400606822454574
main_full_field,full_field,High AD-like perturbation,1.0,37,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.031700387242012,7.678991813147385,1.3527085740946267
main_full_field,full_field,High AD-like perturbation,1.0,53,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.991461518448075,6.967937414322458,2.0235241041256167
main_full_field,full_field,High AD-like perturbation,1.0,71,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.942374106334503,6.413903043035493,2.52847106329901
main_full_field,full_field,High AD-like perturbation,1.0,89,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.99145985850849,6.465224029236434,2.526235829272056
main_full_field,full_field,High AD-like perturbation,1.0,107,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.44958023985824,7.085109458209919,2.36447078164832
main_full_field,full_field,High AD-like perturbation,1.0,127,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.054451201657294,7.285925882145041,1.7685253195122526
main_full_field,full_field,High AD-like perturbation,1.0,149,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.486232491688954,7.289631047240539,2.196601444448415
main_full_field,full_field,High AD-like perturbation,1.0,173,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.965474370592826,6.30839911506136,2.657075255531466
main_full_field,full_field,High AD-like perturbation,1.0,197,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.037913670526853,6.816085444821001,2.2218282257058526
main_full_field,full_field,High AD-like perturbation,1.0,223,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.81348831512221,8.867389428502245,0.946098886619966
main_full_field,full_field,High AD-like perturbation,1.0,251,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.94468904997129,6.744187066037752,2.2005019839335374
main_full_field,full_field,High AD-like perturbation,1.0,281,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.163698430193925,6.685289343348342,2.4784090868455833
main_full_field,full_field,High AD-like perturbation,1.0,313,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.168340142879192,6.89287030035087,2.275469842528322
main_full_field,full_field,High AD-like perturbation,1.0,347,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.150500183866432,6.8732141664674336,2.277286017398999
main_full_field,full_field,High AD-like perturbation,1.0,383,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.304114137023516,7.529754204696833,1.774359932326683
main_full_field,full_field,High AD-like perturbation,1.0,421,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.14346210770792,7.963043563755774,1.180418543952146
main_full_field,full_field,High AD-like perturbation,1.0,461,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.886688900867098,6.640591702307938,2.24609719855916
main_full_field,full_field,High AD-like perturbation,1.0,503,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.968078502890192,6.35624694718393,2.611831555706262
main_full_field,full_field,Intermediate AD-like perturbation,0.5,11,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.397057172337792,8.630442469262315,1.7666147030754775
main_full_field,full_field,Intermediate AD-like perturbation,0.5,23,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.23571116181453,7.5660726303582,1.6696385314563296
main_full_field,full_field,Intermediate AD-like perturbation,0.5,37,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,7.95436950970199,6.77679514920802,1.1775743604939697
main_full_field,full_field,Intermediate AD-like perturbation,0.5,53,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.34325272845295,6.919738401764099,1.4235143266888501
main_full_field,full_field,Intermediate AD-like perturbation,0.5,71,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.002635630131719,8.801371698633682,2.201263931498037
main_full_field,full_field,Intermediate AD-like perturbation,0.5,89,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.934450921774772,7.17874886445471,1.755702057320062
main_full_field,full_field,Intermediate AD-like perturbation,0.5,107,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,6.889385590662094,5.801048995329657,1.0883365953324375
main_full_field,full_field,Intermediate AD-like perturbation,0.5,127,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,5.892055001379604,5.1503948431592805,0.7416601582203235
main_full_field,full_field,Intermediate AD-like perturbation,0.5,149,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.481392929334598,8.04020113283835,1.4411917964962484
main_full_field,full_field,Intermediate AD-like perturbation,0.5,173,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.449290387798731,9.13266161893241,1.3166287688663214
main_full_field,full_field,Intermediate AD-like perturbation,0.5,197,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.128608525487202,8.567363955067146,1.5612445704200564
main_full_field,full_field,Intermediate AD-like perturbation,0.5,223,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.664201331775033,8.490887760913777,2.1733135708612554
main_full_field,full_field,Intermediate AD-like perturbation,0.5,251,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.877879086487061,8.807386375767077,1.070492710719984
main_full_field,full_field,Intermediate AD-like perturbation,0.5,281,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.596470671005502,7.666916652881165,1.9295540181243371
main_full_field,full_field,Intermediate AD-like perturbation,0.5,313,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.7829736812789,8.726803724594017,2.056169956684883
main_full_field,full_field,Intermediate AD-like perturbation,0.5,347,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.455240401177278,8.552325553134224,1.9029148480430536
main_full_field,full_field,Intermediate AD-like perturbation,0.5,383,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.231043583013562,7.5952808746837315,1.635762708329831
main_full_field,full_field,Intermediate AD-like perturbation,0.5,421,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,7.781491017311776,6.652542563079541,1.1289484542322352
main_full_field,full_field,Intermediate AD-like perturbation,0.5,461,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.596094500081307,9.976790522814722,1.6193039772665845
main_full_field,full_field,Intermediate AD-like perturbation,0.5,503,5Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.082535969335224,7.357513221974061,1.7250227473611623
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,23,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,37,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,53,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,71,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,89,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,107,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,127,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,149,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,173,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,197,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,223,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,251,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,281,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,313,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,functional_connectivity,Fisher-z difference,0.0,0.0,0.0
