seed,outcome,probe,observed_interaction,null_median,null_5th_percentile,null_95th_percentile,observed_empirical_percentile,outside_central_90_percent,matched_sets
383,transfer_gain,5Hz,1.774359932326683,1.2821983778148556,-0.13733149053051943,2.8007737593151196,70.05988023952096,False,500
421,transfer_gain,5Hz,1.180418543952146,1.1372126191497554,-0.1186126742525011,2.3058716585491217,52.29540918163673,False,500
461,transfer_gain,5Hz,2.24609719855916,1.392471768046787,0.09886470756393992,2.969657315691762,82.83433133732535,False,500
503,transfer_gain,5Hz,2.611831555706262,1.3025782953512492,0.08290095723775873,2.540094000023225,96.40718562874251,True,500
11,functional_connectivity,2Hz,0.06633255384170189,0.07209857718638912,0.022588558032626094,0.1266692062690061,44.71057884231537,False,500
23,functional_connectivity,2Hz,0.06236696987898771,0.06468257167531544,0.023773926296806525,0.11360623906115543,45.70858283433134,False,500
37,functional_connectivity,2Hz,0.06252056726625632,0.06343227474651836,0.02272219567702365,0.11147034730202418,48.30339321357285,False,500
53,functional_connectivity,2Hz,0.06916320392014086,0.06922909399075272,0.026316166211264758,0.11989448138733479,49.9001996007984,False,500
71,functional_connectivity,2Hz,0.06091384978192593,0.06144611113635956,0.023378560297694872,0.10620202219270125,49.30139720558882,False,500
89,functional_connectivity,2Hz,0.06697703445356673,0.07310298326870246,0.024208947075604705,0.1275790618741223,44.31137724550898,False,500
107,functional_connectivity,2Hz,0.06513219917044388,0.06494094141842521,0.024619690963415965,0.11338798618252512,50.29940119760479,False,500
127,functional_connectivity,2Hz,0.05199475054318459,0.05594973886583965,0.017314201376052864,0.10207870252676131,43.712574850299404,False,500
149,functional_connectivity,2Hz,0.06484559107256116,0.06705515424087594,0.0240534362831506,0.1157498799287948,47.50499001996008,False,500
173,functional_connectivity,2Hz,0.07253766563768371,0.06362752680211536,0.023859408075854117,0.1101085979274434,63.87225548902195,False,500
197,functional_connectivity,2Hz,0.06382168822095169,0.06477883911467197,0.02402545066163466,0.11403153460963729,47.30538922155689,False,500
223,functional_connectivity,2Hz,0.037864434864593566,0.0456044380147993,0.007658294381304609,0.09170458856199921,36.92614770459082,False,500
251,functional_connectivity,2Hz,0.06436350127994928,0.06739061737568708,0.025048187214456008,0.11906405195885231,45.10978043912176,False,500
281,functional_connectivity,2Hz,0.06887063205509492,0.07101200657005347,0.025469012971762496,0.12522544020269386,47.90419161676647,False,500
313,functional_connectivity,2Hz,0.069287149180421,0.06317323774884653,0.026530122826954595,0.10763529365339156,59.880239520958085,False,500
347,functional_connectivity,2Hz,0.0715441565954178,0.06824599632551731,0.022464119873328504,0.11825824096712184,54.091816367265466,False,500
383,functional_connectivity,2Hz,0.06607419810692194,0.06531646413220193,0.024730607472579182,0.11338136223924417,51.49700598802395,False,500
421,functional_connectivity,2Hz,0.05293863854749947,0.05661158149426715,0.018743256565743473,0.10283629691774308,44.510978043912175,False,500
461,functional_connectivity,2Hz,0.07589809074279152,0.06707585657515658,0.024651732802532612,0.11562580048333246,62.4750499001996,False,500
503,functional_connectivity,2Hz,0.06588308811998012,0.0712320311453889,0.025216274714607526,0.1250391480945251,43.51297405189621,False,500
11,functional_connectivity,5Hz,0.06364267738804252,0.05887053655548047,0.016906796396707082,0.09752617700224203,58.88223552894212,False,500
23,functional_connectivity,5Hz,0.06253310037630633,0.06167351451656533,0.021303317593582772,0.10550110073755868,50.49900199600798,False,500
37,functional_connectivity,5Hz,0.06190370639866094,0.059914609285908194,0.0193476359444961,0.10286896543807968,52.49500998003992,False,500
53,functional_connectivity,5Hz,0.07436420605025762,0.0782145975396411,0.03234929244595995,0.13163260971753338,44.11177644710579,False,500
71,functional_connectivity,5Hz,0.06540988270397086,0.0751846168943987,0.030063072044842886,0.12256456051498404,35.728542914171655,False,500
89,functional_connectivity,5Hz,0.07940678015001024,0.06354032217847216,0.020938251682644852,0.10801485624549086,70.65868263473054,False,500
107,functional_connectivity,5Hz,0.08851297506720157,0.07744144351001725,0.032340635699841705,0.12806405244055896,63.07385229540918,False,500
127,functional_connectivity,5Hz,0.05944146540630846,0.05615034559633192,0.01699177035088767,0.10095595081714649,55.08982035928144,False,500
149,functional_connectivity,5Hz,0.0958176358551206,0.07058644989222806,0.02195222872096654,0.11620094699618122,84.03193612774452,False,500
173,functional_connectivity,5Hz,0.07821033129538169,0.06243894301937003,0.014042216884811127,0.10421772341729273,71.05788423153693,False,500
197,functional_connectivity,5Hz,0.06012394686592093,0.05883394345645454,0.013745880338132455,0.09819461817344283,51.29740518962076,False,500
223,functional_connectivity,5Hz,0.01703268467011898,0.036431171483257474,-0.009349273702311822,0.093079094577811,23.552894211576845,False,500
251,functional_connectivity,5Hz,0.06860586972302851,0.05911342291806376,0.016270376237100193,0.10059481138693757,65.46906187624751,False,500
281,functional_connectivity,5Hz,0.0678852851413525,0.06916482809599822,0.02735059442650301,0.11446353810364705,48.30339321357285,False,500
313,functional_connectivity,5Hz,0.07816920037167185,0.06716667518234787,0.02201870721607402,0.11432335676719423,64.47105788423154,False,500
347,functional_connectivity,5Hz,0.0797073953122378,0.07810836723423342,0.03325105824293655,0.12760886988498132,53.293413173652695,False,500
