region_index,region_label,hemisphere,surrogate_amyloid,baseline_b,intermediate_b,high_b,b_reduction,weighted_structural_strength,structural_feature_basis,direct_connectivity_to_left_a1,direct_connectivity_to_right_a1,bilateral_a1_affinity,semantic_expanded_membership,episodic_expanded_membership,semantic_anatomical_core_membership,episodic_anatomical_core_membership,anatomical_core_membership,semantic_platel_peak_membership,episodic_platel_peak_membership,platel_peak_membership,raw_trace_region_membership
65,L_47m,L,1.67813508483809,0.07,0.06741475106352754,0.06482950212705506,0.0051704978729449486,0.2762573372838628,symmetrized_0.5_times_W_plus_W_transpose,0.0004521862728324327,1.4030674640352605e-05,0.00046621694747278527,False,False,False,False,False,False,False,False,False
66,L_8Av,L,1.73393752417372,0.07,0.06649135416786167,0.06298270833572335,0.007017291664276656,0.5502184869537743,symmetrized_0.5_times_W_plus_W_transpose,0.001790679447811655,0.0002487310416719158,0.002039410489483571,False,False,False,False,False,False,False,False,False
67,L_8Ad,L,1.34804867259769,0.07,0.0696361816254002,0.06927236325080038,0.0007276367491996227,0.4493691676500464,symmetrized_0.5_times_W_plus_W_transpose,0.0002563228880811619,0.00025710993958652343,0.0005134328276676853,False,False,False,False,False,False,False,False,False
68,L_9m,L,1.82739813222784,0.07,0.06434743109704447,0.05869486219408891,0.011305137805911095,0.4789169430642468,symmetrized_0.5_times_W_plus_W_transpose,0.0009844136532912635,0.00033537304692742,0.0013197867002186835,True,False,True,False,True,False,False,False,True
69,L_8BL,L,2.16831723328431,0.07,0.05226524698811712,0.03453049397623422,0.035469506023765786,0.4926272512022324,symmetrized_0.5_times_W_plus_W_transpose,0.0003070853614071985,0.0004896040159834955,0.000796689377390694,False,False,False,False,False,False,False,False,False
70,L_9p,L,1.56268430616608,0.07,0.06866971019416432,0.06733942038832863,0.0026605796116713765,0.43674190443830463,symmetrized_0.5_times_W_plus_W_transpose,0.0006114376257115315,0.0005185688113275519,0.0011300064370390833,False,False,False,False,False,False,False,False,False
71,L_10d,L,2.00715736596925,0.07,0.058193689811710386,0.04638737962342076,0.023612620376579248,0.39484321096607095,symmetrized_0.5_times_W_plus_W_transpose,0.000527251371100316,0.0002862745459649245,0.0008135259170652405,False,False,False,False,False,False,False,False,False
72,L_8C,L,1.97820337557258,0.07,0.05930846176435295,0.04861692352870589,0.021383076471294116,0.5237723977365896,symmetrized_0.5_times_W_plus_W_transpose,0.001257184235618215,9.985616124536685e-06,0.0012671698517427517,False,False,False,False,False,False,False,False,False
73,L_44,L,1.49151819839649,0.07,0.06912935027305345,0.06825870054610687,0.0017412994538931331,0.5056592073759071,symmetrized_0.5_times_W_plus_W_transpose,0.00142814740798013,0.0006087606719377095,0.0020369080799178393,False,False,False,False,False,False,False,False,False
74,L_45,L,2.04167461633205,0.07,0.05685163629063659,0.04370327258127317,0.026296727418726837,0.4738070310821268,symmetrized_0.5_times_W_plus_W_transpose,0.001753085748155255,0.0006170381333394365,0.0023701238814946915,False,False,False,False,False,False,False,False,False
75,L_47l,L,3.33652929671679,0.07,0.04500709626841956,0.020014192536839108,0.0499858074631609,0.36274948167197774,symmetrized_0.5_times_W_plus_W_transpose,0.0002545488972417206,0.0003447627804555415,0.0005993116776972621,False,False,False,False,False,False,False,False,False
76,L_a47r,L,2.0736183711083,0.07,0.05562218080561473,0.04124436161122945,0.028755638388770557,0.419248087726914,symmetrized_0.5_times_W_plus_W_transpose,0.000636737931298541,0.00044317261393030745,0.0010799105452288485,False,False,False,False,False,False,False,False,False
77,L_6r,L,1.63129248428418,0.07,0.06801692700345544,0.06603385400691085,0.003966145993089157,0.5269987920440811,symmetrized_0.5_times_W_plus_W_transpose,0.0016357608330082752,7.843824911989307e-05,0.0017141990821281682,False,False,False,False,False,False,False,False,False
78,L_IFJa,L,2.16012245726276,0.07,0.05253102279317361,0.03506204558634721,0.0349379544136528,0.4085473889485804,symmetrized_0.5_times_W_plus_W_transpose,0.00166623226053155,0.00031323229739714433,0.0019794645579286944,False,False,False,False,False,False,False,False,False
79,L_IFJp,L,1.82294635903669,0.07,0.0644677745213067,0.058935549042613375,0.011064450957386632,0.3886008127640468,symmetrized_0.5_times_W_plus_W_transpose,0.0014558855494920101,0.0003998092505570406,0.0018556948000490506,False,False,False,False,False,False,False,False,False
80,L_IFSp,L,1.68990528592311,0.07,0.06723986168130425,0.06447972336260849,0.005520276637391519,0.4331125974293505,symmetrized_0.5_times_W_plus_W_transpose,0.00145773304200858,0.0004833281942922605,0.0019410612363008404,False,False,False,False,False,False,False,False,False
