pair,outcome,probe,unit,severity,series,n_numerical_initializations,mean,median,sd,minimum,maximum,ci95_lower_numerical,ci95_upper_numerical,t_statistic_vs_zero,p_value_vs_zero_numerical,paired_hedges_gz,positive_fraction,sign_consistent,hierarchy,analysis_status,all_quality_gates_passed,integration_step_status
expanded_bilateral,transfer_gain,2Hz,log2 ratio,0.5,episodic_component,20,8.466050754771459,8.701960211991633,1.179029197217995,5.436166331381395,10.308078210032471,7.914248104883736,9.017853404659181,32.11229210150294,5.0876070310917325e-18,6.893305733019854,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,2Hz,log2 ratio,0.5,semantic_component,20,10.066119716079834,10.172405530259983,1.4967469974647145,6.143982678699211,11.899826680638052,9.365620558500604,10.766618873659064,30.076596770104466,1.725783065717005e-17,6.456318231341202,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,2Hz,log2 ratio,0.5,semantic_minus_episodic_interaction,20,1.6000689613083736,1.6316978376059916,0.4126646955306689,0.7078163473178156,2.312119188754721,1.406935938779135,1.7932019838376123,17.340291064017617,4.18935732326092e-13,3.7223106786024522,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,2Hz,log2 ratio,1.0,episodic_component,20,7.76449915741826,7.828075751451617,0.5214916498506341,6.912025304221911,8.899958765548142,7.520433552460476,8.008564762376043,66.58571784303695,5.545837414410938e-24,14.29345837705452,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,2Hz,log2 ratio,1.0,semantic_component,20,9.997671831933785,9.925655819745417,0.1386459355390896,9.853108243356363,10.355029883676712,9.932783536709925,10.062560127157644,322.48293101438856,5.5292338283369945e-37,69.2250005118286,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,2Hz,log2 ratio,1.0,semantic_minus_episodic_interaction,20,2.2331726745155254,2.227456770843384,0.43964542944433876,1.4550711181285705,2.9709286357418643,2.027412279818907,2.4389330692121436,22.716150658147267,3.108577754965583e-15,4.876306277639412,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,5Hz,log2 ratio,0.0,episodic_component,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,False,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,5Hz,log2 ratio,0.0,semantic_component,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,False,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,5Hz,log2 ratio,0.0,semantic_minus_episodic_interaction,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,False,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,5Hz,log2 ratio,0.5,episodic_component,20,7.81956435044251,7.853558892859757,1.1835173989735543,5.1503948431592805,9.976790522814722,7.265661157474267,8.373467543410754,29.547647473857115,2.401468881069664e-17,6.342772639367467,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,5Hz,log2 ratio,0.5,semantic_component,20,9.38880699001708,9.538931800170051,1.4458792705274155,5.892055001379604,11.596094500081309,8.712114661466341,10.06549931856782,29.039783729170367,3.31578258548759e-17,6.2337533251504595,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,5Hz,log2 ratio,0.5,semantic_minus_episodic_interaction,20,1.5692426395745718,1.6275333427982077,0.3954545893913457,0.7416601582203235,2.201263931498037,1.3841641946545522,1.7543210844945913,17.746326933166376,2.7652775723762977e-13,3.8094713638555566,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,5Hz,log2 ratio,1.0,episodic_component,20,6.952541996289069,6.844649805644217,0.6808943756007809,6.055216089371301,8.867389428502245,6.633873619257614,7.271210373320524,45.664517367784875,6.876556173566618e-21,9.802460639432327,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,5Hz,log2 ratio,1.0,semantic_component,20,9.124984040984248,9.034807028884432,0.23008698976063544,8.886688900867098,9.81348831512221,9.01730001504648,9.232668066922017,177.35974233456943,4.7248946106974544e-32,38.07249027186667,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,5Hz,log2 ratio,1.0,semantic_minus_episodic_interaction,20,2.1724420446951784,2.260783520543741,0.5347528652437686,0.946098886619966,2.940060682245458,1.9221699998867703,2.422714089503587,18.168123650548917,1.8121105911215987e-13,3.9000153125999053,1.0,True,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
