severity,probe,network,segment,median_broadband_transfer,median_frequency_locked_transfer,median_target_locked_amplitude,median_ipsilateral_a1_locked_amplitude,median_segment_fit_r_squared,median_phase_eligible_fraction,median_phase_lag_degrees,median_phase_consistency_across_segments,numerical_initializations,severity_label,series
0.0,5Hz,Episodic proxy,1,0.0007577849409720791,0.0007562995119571503,6.208438759010064e-05,0.08208611552476541,0.9987297425884234,1.0,27.75507390513206,0.9999999810966544,20,0.0,5Hz · Episodic proxy
0.0,5Hz,Episodic proxy,2,0.0007576487523578481,0.0007562570729976039,6.208088254020171e-05,0.08208608903042104,0.9989675343375976,1.0,27.783012668741506,0.9999999810966544,20,0.0,5Hz · Episodic proxy
0.0,5Hz,Episodic proxy,3,0.0007576548853653589,0.0007562648114606394,6.208151760621049e-05,0.08208608958281355,0.9989710996927139,1.0,27.78305815422282,0.9999999810966544,20,0.0,5Hz · Episodic proxy
0.0,5Hz,Episodic proxy,4,0.0007576549357556624,0.0007562648339971734,6.20815196317904e-05,0.0820860895621805,0.9989711166407768,1.0,27.783086873247612,0.9999999810966544,20,0.0,5Hz · Episodic proxy
0.0,5Hz,Episodic proxy,5,0.0007576549357558361,0.000756264833997415,6.208151963181036e-05,0.0820860895621805,0.9989711166407768,1.0,27.783086873268427,0.9999999810966544,20,0.0,5Hz · Episodic proxy
0.0,5Hz,Semantic proxy,1,0.0003880168850086405,0.00038703256879950667,3.177457973234339e-05,0.08208611552476541,0.9979561401809727,1.0,30.66802929246103,0.9999999684221219,20,0.0,5Hz · Semantic proxy
0.0,5Hz,Semantic proxy,2,0.000387780499571082,0.0003869588821686272,3.1768526723887134e-05,0.08208608903042106,0.9986532946484352,1.0,30.716115939874676,0.9999999684221219,20,0.0,5Hz · Semantic proxy
0.0,5Hz,Semantic proxy,3,0.0003877875262962329,0.00038696801478416663,3.176927765957454e-05,0.08208608958281355,0.9986673371200389,1.0,30.716793288468377,0.9999999684221219,20,0.0,5Hz · Semantic proxy
0.0,5Hz,Semantic proxy,4,0.0003877871950300264,0.0003869675657601268,3.176924057755109e-05,0.0820860895621805,0.9986654264980912,1.0,30.71679151364225,0.9999999684221219,20,0.0,5Hz · Semantic proxy
0.0,5Hz,Semantic proxy,5,0.0003877871950294049,0.0003869675657591608,3.1769240577467975e-05,0.0820860895621805,0.9986654264932849,1.0,30.716791512691366,0.9999999684221219,20,0.0,5Hz · Semantic proxy
0.5,2Hz,Episodic proxy,1,0.014357618254476703,0.0009930208099927936,6.36661240093635e-05,0.05777411534634154,0.017501609316170508,0.21052631578947367,17.32486944216383,0.7256962835631915,20,0.5,2Hz · Episodic proxy
0.5,2Hz,Episodic proxy,2,0.04415031026968253,0.0013245995408340764,8.846691761269093e-05,0.057763968689088785,0.0017300543513821265,0.21052631578947367,10.528093314664208,0.7256962835631915,20,0.5,2Hz · Episodic proxy
0.5,2Hz,Episodic proxy,3,0.06924494233395226,0.0026289587803117647,0.00015696138387102902,0.057738659566967054,0.0014211156677373937,0.21052631578947367,20.21365977797797,0.7256962835631915,20,0.5,2Hz · Episodic proxy
0.5,2Hz,Episodic proxy,4,0.24089321017055884,0.004375548299085325,0.0003042438267413883,0.057728745126665655,0.00044378826599361654,0.21052631578947367,13.001082203333631,0.7256962835631915,20,0.5,2Hz · Episodic proxy
0.5,2Hz,Episodic proxy,5,0.36954052519528846,0.008145057370377537,0.0006040489463884321,0.05767391821549643,0.0010407763161290329,0.21052631578947367,-39.99604416329407,0.7256962835631915,20,0.5,2Hz · Episodic proxy
0.5,2Hz,Semantic proxy,1,0.015464406730944784,0.0005206100251181189,3.2489805987494634e-05,0.05777411534634153,0.003026707818296892,0.07692307692307693,24.170734113280474,0.7396019674504106,20,0.5,2Hz · Semantic proxy
0.5,2Hz,Semantic proxy,2,0.06184792507313992,0.0018581854037095784,0.00013881428417850372,0.05776396868908879,0.0011235548959964703,0.07692307692307693,12.302277633121005,0.7396019674504106,20,0.5,2Hz · Semantic proxy
0.5,2Hz,Semantic proxy,3,0.11437984655131708,0.0031832205253865455,0.0002639426749924607,0.057738659566967054,0.0010531509665723249,0.07692307692307693,18.290762669449112,0.7396019674504106,20,0.5,2Hz · Semantic proxy
0.5,2Hz,Semantic proxy,4,0.4221073004434486,0.004795642770919343,0.00033408366041130826,0.05772874512666566,0.0004803467549725493,0.07692307692307693,6.801377649633769,0.7396019674504106,20,0.5,2Hz · Semantic proxy
0.5,2Hz,Semantic proxy,5,0.5718864958830496,0.01056572773996128,0.0008168958408686337,0.05767391821549644,0.0009524027560163795,0.07692307692307693,-7.9400043143045425,0.7396019674504106,20,0.5,2Hz · Semantic proxy
