severity,severity_label,seed,network,fixed_parcel_count,t20_ms,relative_t20_ms,t50_ms,relative_t50_ms,t80_ms,relative_t80_ms,absolute_peak_after_onset_ms,relative_absolute_peak_after_onset_ms,spread_t80_t20_ms,total_energy_psp2_ms,tail_energy_fraction,absolute_peak_psp
1.0,1.0,89,Episodic proxy,18,308.0,277.0,531.0,396.0,1113.0,833.0,409.0,381.0,788.0,0.003931682625094184,0.015490545673044375,0.0020671190821896423
0.0,0.0,107,Episodic proxy,0,,,,,,,,,,,,
0.5,0.5,107,Episodic proxy,0,,,,,,,,,,,,
1.0,1.0,107,Episodic proxy,0,,,,,,,,,,,,
0.0,0.0,127,Episodic proxy,15,172.5,146.5,304.0,258.0,463.5,298.5,248.0,220.0,294.0,8.414420862722205e-05,2.4116590303401853e-08,0.0006328638221804977
0.5,0.5,127,Episodic proxy,15,234.0,206.0,506.0,402.0,2775.5,2574.5,239.5,211.5,2552.0,0.00032737495066174655,0.006503990007686064,0.0009962224462886082
1.0,1.0,127,Episodic proxy,15,338.0,307.0,585.5,449.5,1252.5,972.5,409.0,381.0,870.5,0.00406979543822583,0.016165564476474426,0.002161200774587908
0.0,0.0,149,Episodic proxy,12,178.5,152.5,308.0,262.0,470.5,305.5,257.5,229.5,291.5,7.6487673389706e-05,2.2971427462792215e-08,0.00060867197905153
0.5,0.5,149,Episodic proxy,12,209.0,181.0,351.0,247.0,666.5,465.5,265.0,237.0,439.0,0.00021356323398669133,0.08510456591479867,0.0009493740951035019
1.0,1.0,149,Episodic proxy,12,352.0,321.0,574.0,438.0,960.5,680.5,448.0,420.0,608.0,0.0023289690562641923,0.00839958063348237,0.0018717907862737526
0.0,0.0,173,Episodic proxy,0,,,,,,,,,,,,
0.5,0.5,173,Episodic proxy,0,,,,,,,,,,,,
1.0,1.0,173,Episodic proxy,0,,,,,,,,,,,,
0.0,0.0,197,Episodic proxy,19,177.5,151.5,310.5,264.5,472.5,307.5,258.0,230.0,294.0,8.44444094747587e-05,2.2051566230572425e-08,0.0006348962675832848
0.5,0.5,197,Episodic proxy,19,320.0,292.0,2179.0,2075.0,2686.5,2485.5,775.0,747.0,2349.0,0.000724654245361169,0.031054400623693065,0.0013262264348387369
1.0,1.0,197,Episodic proxy,19,343.0,312.0,593.5,457.5,1273.5,993.5,431.0,403.0,960.0,0.004762581577685485,0.022994583959714442,0.0022634302395657564
0.0,0.0,223,Episodic proxy,4,180.0,154.0,314.0,268.0,492.0,327.0,259.0,231.0,314.0,6.237266407299003e-05,2.77507509803562e-08,0.000526955648006755
0.5,0.5,223,Episodic proxy,4,2933.0,2905.0,3098.0,2994.0,3248.0,3046.0,3092.0,3064.0,313.0,0.0883847335341226,0.11993992579947617,0.02440915276326757
1.0,1.0,223,Episodic proxy,4,255.0,224.0,524.0,388.0,1160.0,880.0,273.0,245.0,970.0,0.0017087898963534828,0.014979403309883229,0.0012853550378261562
0.0,0.0,251,Episodic proxy,1,192.0,166.0,320.0,274.0,486.0,320.0,278.0,250.0,294.0,6.46804061968084e-05,2.3631932117884895e-08,0.0005539330938493237
0.5,0.5,251,Episodic proxy,1,2898.0,2870.0,2968.0,2862.0,3178.0,2962.0,2966.0,2938.0,280.0,0.17391167838905203,0.018258659467190536,0.04066520619082503
1.0,1.0,251,Episodic proxy,1,60.0,28.0,332.0,190.0,1364.0,1060.0,48.0,20.0,1304.0,3.063291958227086e-05,0.0033003801766520436,0.0004945957423565517
0.0,0.0,281,Episodic proxy,16,167.0,141.0,297.0,251.0,454.0,289.0,238.0,210.0,293.0,8.354431286678745e-05,2.366648415678864e-08,0.0006329005659283005
0.5,0.5,281,Episodic proxy,16,183.0,155.0,308.0,204.0,479.0,277.0,241.0,213.0,296.0,0.00021561702225034667,0.0055399213362486086,0.0010049827341876893
