severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,target_locked_amplitude,ipsilateral_a1_locked_amplitude,median_segment_fit_r_squared,phase_eligible_fraction,phase_lag_degrees,median_phase_consistency_across_segments
0.0,23,2Hz,Episodic proxy,2,2.0,4.0,0.0005541110877878493,0.0005528489721031607,3.402432778441414e-05,0.0615412735322016,0.9999881328781901,1.0,12.23317233924825,0.9999999986371396
0.0,23,2Hz,Semantic proxy,3,4.0,6.0,0.00028030965267323535,0.0002796272450597331,1.721065346710498e-05,0.06154127362904542,0.9999885393005848,1.0,13.331518212518446,0.9999999875644129
0.0,23,2Hz,Episodic proxy,3,4.0,6.0,0.0005541136247554392,0.0005528515924092374,3.402448852017372e-05,0.06154127362904542,0.9999886513389235,1.0,12.233775686521147,0.9999999986371396
0.0,23,2Hz,Semantic proxy,4,6.0,8.0,0.0002803093493462306,0.0002796269564450815,1.7210635621299907e-05,0.06154127361056952,0.9999885710718,1.0,13.331264102687571,0.9999999875644129
0.0,23,2Hz,Episodic proxy,4,6.0,8.0,0.000554113279852586,0.0005528512449915377,3.402446714378939e-05,0.061541273610569526,0.9999886456146259,1.0,12.233784893842381,0.9999999986371396
0.0,23,2Hz,Semantic proxy,5,8.0,10.0,0.0002803093793681921,0.0002796269842072993,1.721063732597061e-05,0.061541273608948316,0.9999885688208019,1.0,13.331300938875787,0.9999999875644129
0.0,23,2Hz,Episodic proxy,5,8.0,10.0,0.0005541132951215119,0.0005528512578492424,3.402446792879268e-05,0.06154127360894832,0.9999886456461095,1.0,12.2338029815679,0.9999999986371396
0.0,23,5Hz,Semantic proxy,1,0.0,2.0,0.0003880147291387462,0.0003870308734674262,3.177444116155411e-05,0.08208611539800476,0.9979574420792355,1.0,30.667613630401373,0.9999999677458375
0.0,23,5Hz,Episodic proxy,1,0.0,2.0,0.0007577823647123295,0.0007562970570328182,6.208418641760056e-05,0.08208611539800474,0.9987297745924679,1.0,27.754794804812484,0.9999999806666274
0.0,23,5Hz,Semantic proxy,2,2.0,4.0,0.00038778076263523253,0.00038695921157566826,3.176855371462241e-05,0.0820860890339427,0.9986535167275942,1.0,30.716262449980462,0.9999999677458375
0.0,23,5Hz,Episodic proxy,2,2.0,4.0,0.0007576492868542357,0.0007562576935455203,6.208093342502793e-05,0.0820860890339427,0.9989677727624041,1.0,27.783093017622704,0.9999999806666274
0.0,23,5Hz,Semantic proxy,3,4.0,6.0,0.00038778762915535797,0.0003869681137481636,3.1769285821389594e-05,0.08208608959267333,0.9986671556908371,1.0,30.716789903823134,0.9999999677458375
0.0,23,5Hz,Episodic proxy,3,4.0,6.0,0.0007576550654505602,0.0007562649906625954,6.208153235749383e-05,0.08208608959267333,0.99897113255479,1.0,27.783055398524407,0.9999999806666274
