severity,seed,region_index,region_label,hemisphere,semantic_membership,episodic_membership,t20_ms,t50_ms,t80_ms,spread_t80_t20_ms,total_energy_psp2_ms,tail_energy_fraction,absolute_peak_psp,absolute_peak_after_onset_ms
1.0,281,206,R_PCV,R,False,True,364.0,622.0,1692.0,1328.0,0.0025277918169991434,0.007736421398493718,0.002514791867533006,408.0
1.0,281,29,L_7m,L,False,True,498.0,858.0,1506.0,1008.0,0.005275671608597403,0.007929265877089954,0.0030645068660994923,584.0
1.0,281,209,R_7m,R,False,True,292.0,580.0,1994.0,1702.0,0.000969582113805279,0.008066488731289944,0.0015749811482770326,322.0
1.0,281,324,R_IP1,R,False,True,1470.0,2274.0,2936.0,1466.0,0.034601579963927334,0.0517832697594934,0.006077627168007638,2766.0
1.0,281,270,R_11l,R,False,True,72.0,676.0,1984.0,1912.0,2.601790284009348e-05,0.006762541784191049,0.0004082751545873009,48.0
1.0,281,246,R_8Av,R,False,True,552.0,946.0,1726.0,1174.0,0.003605803639308493,0.008992340445128517,0.0024213028010269255,586.0
1.0,313,23,L_A1,L,False,False,30.0,130.0,256.0,226.0,6.293069278696618,1.3625038114907966e-06,0.2980021201800156,28.0
1.0,313,203,R_A1,R,False,False,32.0,142.0,304.0,272.0,7.1922523517903185,1.580747581006107e-06,0.2982994751857646,28.0
1.0,313,68,L_9m,L,True,False,542.0,882.0,1228.0,686.0,0.002319608239334471,0.007016266280771255,0.0021211899272746138,886.0
1.0,313,248,R_9m,R,True,False,536.0,812.0,1142.0,606.0,0.001354751413475555,0.010108907756511831,0.0016943078766420427,672.0
1.0,313,64,L_10r,L,True,False,376.0,628.0,966.0,590.0,0.0007564493748663195,0.010248638710377652,0.001359351336175152,494.0
1.0,313,244,R_10r,R,True,False,662.0,1696.0,2696.0,2034.0,0.000322417398790867,0.13210645987852906,0.0011720289044703236,1694.0
1.0,313,87,L_10v,L,True,False,268.0,642.0,1330.0,1062.0,6.771337430556608e-06,0.04783069424833197,0.0001636172902887978,390.0
1.0,313,267,R_10v,R,True,False,340.0,1678.0,2392.0,2052.0,0.00016068941605147552,0.040795597174877164,0.0009623736887469647,1714.0
1.0,313,62,L_8BM,L,True,False,602.0,934.0,2232.0,1630.0,0.0024684626821912885,0.006713840774364413,0.002370879440166007,660.0
1.0,313,242,R_8BM,R,True,False,896.0,1378.0,2004.0,1108.0,0.00047525634243520846,0.013684855489965777,0.001335398060168913,1384.0
1.0,313,163,L_25,L,True,False,1170.0,2862.0,3320.0,2150.0,0.0001729131838540867,0.21310932039475658,0.0009654382742656509,3096.0
1.0,313,343,R_25,R,True,False,446.0,702.0,1010.0,564.0,0.00033277793373236565,0.014859801412262364,0.0008925276524447412,540.0
1.0,313,311,R_TE1a,R,True,False,340.0,1128.0,2216.0,1876.0,0.00012685265466548596,0.011045756184506744,0.0006458225025252062,350.0
1.0,313,134,L_TF,L,True,False,246.0,572.0,1406.0,1160.0,1.9877886827866845e-05,0.06228834621794738,0.0002617533132109884,52.0
1.0,313,127,L_STSda,L,True,False,442.0,1036.0,1666.0,1224.0,0.00021469823972456215,0.004499609891265455,0.0011320117249731254,1052.0
1.0,313,160,L_31pd,L,False,True,276.0,456.0,880.0,604.0,0.0005865840548103968,0.023670488418612554,0.0013981637988731421,324.0
1.0,313,340,R_31pd,R,False,True,64.0,384.0,1956.0,1892.0,3.385063060536981e-05,0.07096261929856723,0.0004957901793991581,48.0
1.0,313,34,L_31pv,L,False,True,1040.0,1878.0,2762.0,1722.0,0.0029233087961582503,0.044826330969822074,0.002390587157773183,1872.0
1.0,313,214,R_31pv,R,False,True,270.0,444.0,782.0,512.0,0.00044290998793200574,0.02837264215602162,0.001248328317268843,322.0
1.0,313,33,L_d23ab,L,False,True,684.0,1212.0,1764.0,1080.0,0.005256197901801945,0.00515021167838608,0.0027171019854144163,1240.0
1.0,313,213,R_d23ab,R,False,True,668.0,2234.0,2924.0,2256.0,0.004373402005846765,0.025303143103615384,0.0025054311102028493,2870.0
1.0,313,32,L_v23ab,L,False,True,328.0,538.0,844.0,516.0,0.001007170157175483,0.016580698691317317,0.0017475810238991585,408.0
1.0,313,212,R_v23ab,R,False,True,228.0,362.0,568.0,340.0,0.0006948186611051641,0.011476220417936977,0.0017298654731909835,318.0
1.0,313,31,L_23d,L,False,True,326.0,548.0,1004.0,678.0,0.00048613548325569697,0.01387752461845572,0.001184245836711284,408.0
1.0,313,211,R_23d,R,False,True,284.0,484.0,874.0,590.0,0.000432938721297753,0.03150020914459604,0.0012035117684749963,408.0
1.0,313,161,L_31a,L,False,True,326.0,578.0,1140.0,814.0,0.00036239289948060844,0.03700049891540706,0.001000135963753479,410.0
1.0,313,341,R_31a,R,False,True,1208.0,1872.0,2718.0,1510.0,0.014224175616662713,0.04319123597527033,0.0038084239677225185,1522.0
1.0,313,26,L_PCV,L,False,True,1292.0,2022.0,2532.0,1240.0,0.04004827494104251,0.015686498616633574,0.0079418058720222,2154.0
1.0,313,206,R_PCV,R,False,True,324.0,532.0,834.0,510.0,0.0020118902532589612,0.01748398022283937,0.0024930952943336138,408.0
1.0,313,29,L_7m,L,False,True,452.0,752.0,1108.0,656.0,0.004131931057816155,0.011450215296302598,0.002934171047332512,498.0
1.0,313,209,R_7m,R,False,True,254.0,450.0,1072.0,818.0,0.000747043726816206,0.031925331570154834,0.0015786050086692427,322.0
1.0,313,324,R_IP1,R,False,True,1136.0,1738.0,2666.0,1530.0,0.01630803129969745,0.036093334022391586,0.004362128142242128,1440.0
1.0,313,270,R_11l,R,False,True,56.0,304.0,1162.0,1106.0,1.921794385579682e-05,0.023367091301231806,0.00040940273990131004,48.0
1.0,313,246,R_8Av,R,False,True,492.0,786.0,1108.0,616.0,0.002580926193160613,0.008130385059148374,0.0023255348281523425,586.0
1.0,347,23,L_A1,L,False,False,30.0,130.0,256.0,226.0,6.302013208886991,3.857680532979934e-08,0.29788812494867933,28.0
1.0,347,203,R_A1,R,False,False,32.0,142.0,304.0,272.0,7.206239954503219,1.3413421951074216e-07,0.2981247024470779,28.0
1.0,347,68,L_9m,L,True,False,546.0,886.0,1312.0,766.0,0.00227103205816419,0.00043509978048044193,0.0020766082179211054,886.0
1.0,347,248,R_9m,R,True,False,542.0,838.0,1190.0,648.0,0.001338910567139095,0.0004057861611293979,0.0016868652815738017,800.0
1.0,347,64,L_10r,L,True,False,376.0,634.0,970.0,594.0,0.0007544926640465164,0.0019894164828482956,0.0013408270630410613,536.0
1.0,347,244,R_10r,R,True,False,1648.0,2346.0,3058.0,1410.0,0.0005061384280318874,0.12072904372526912,0.0014671263057230988,1694.0
1.0,347,87,L_10v,L,True,False,266.0,642.0,1390.0,1124.0,6.699099534390869e-06,0.03453103095546411,0.00015933583162741627,390.0
1.0,347,267,R_10v,R,True,False,1010.0,2372.0,3050.0,2040.0,0.0002528396754799748,0.09606752528695797,0.001010768919330829,1712.0
1.0,347,62,L_8BM,L,True,False,852.0,2610.0,3308.0,2456.0,0.005051930273693232,0.20567656873415416,0.003654630037543072,3460.0
1.0,347,242,R_8BM,R,True,False,466.0,904.0,1352.0,886.0,0.00015954537340783856,0.00667541534898084,0.0007860291666652586,906.0
1.0,347,163,L_25,L,True,False,2554.0,3086.0,3364.0,810.0,0.0003630785848023996,0.35764612827905407,0.001656076685286223,3372.0
1.0,347,343,R_25,R,True,False,446.0,706.0,1022.0,576.0,0.00032832363197179433,0.0002897753522291282,0.0008845437264994871,624.0
1.0,347,311,R_TE1a,R,True,False,172.0,1032.0,2224.0,2052.0,0.00010826990945462537,0.029667638572792518,0.0006869069775046199,350.0
1.0,347,134,L_TF,L,True,False,186.0,516.0,1302.0,1116.0,1.701571046865484e-05,0.007321316307857896,0.00026159440965312086,52.0
1.0,347,127,L_STSda,L,True,False,166.0,1046.0,2230.0,2064.0,0.00011288160123727845,0.002256433787819931,0.0007177554926727225,1048.0
1.0,347,160,L_31pd,L,False,True,272.0,452.0,800.0,528.0,0.0005636240329551201,0.0014221789313443648,0.0013839221568225923,322.0
1.0,347,340,R_31pd,R,False,True,56.0,298.0,1130.0,1074.0,2.8703627327580842e-05,0.008280712015474367,0.0004963935891213467,48.0
1.0,347,34,L_31pv,L,False,True,806.0,1608.0,2670.0,1864.0,0.0015191057188372371,0.055401205851310316,0.0018569974260707056,810.0
1.0,347,214,R_31pv,R,False,True,250.0,430.0,698.0,448.0,0.0004195889499982319,0.0005047917011006276,0.0012396125098188548,322.0
1.0,347,33,L_d23ab,L,False,True,758.0,1332.0,1980.0,1222.0,0.004947804489553165,0.00841238756538824,0.002377755652361202,1240.0
1.0,347,213,R_d23ab,R,False,True,1126.0,2834.0,3276.0,2150.0,0.007620882260634896,0.17230153829129444,0.003916292364127827,3422.0
1.0,347,32,L_v23ab,L,False,True,326.0,538.0,836.0,510.0,0.000981394990668681,0.0005150548443586764,0.0017127563512815414,408.0
1.0,347,212,R_v23ab,R,False,True,226.0,360.0,560.0,334.0,0.0006834130537612888,0.0004930957761090955,0.001724538729972025,318.0
1.0,347,31,L_23d,L,False,True,324.0,544.0,972.0,648.0,0.0004666012383636017,0.0008119954390820268,0.0011551618347400705,408.0
1.0,347,211,R_23d,R,False,True,282.0,460.0,790.0,508.0,0.0004131349764026135,0.0013228003223274155,0.0011735942656656562,408.0
1.0,347,161,L_31a,L,False,True,322.0,570.0,1108.0,786.0,0.00034103929071685463,0.0023525962302115466,0.0009630686257438015,410.0
1.0,347,341,R_31a,R,False,True,1268.0,2064.0,2834.0,1566.0,0.01386424658672825,0.03333791764399936,0.0036669043544410584,2762.0
1.0,347,26,L_PCV,L,False,True,2056.0,2718.0,3248.0,1192.0,0.09605797959812688,0.15689322290468857,0.013342955245470023,3480.0
1.0,347,206,R_PCV,R,False,True,322.0,532.0,822.0,500.0,0.001957670668457,0.0002970867613580022,0.002444472279902854,408.0
1.0,347,29,L_7m,L,False,True,454.0,760.0,1152.0,698.0,0.004039890551870154,0.0009433371886747057,0.0028225963377828123,626.0
1.0,347,209,R_7m,R,False,True,244.0,436.0,816.0,572.0,0.0006967192978065296,0.000710665557306751,0.001568920994801104,322.0
1.0,347,324,R_IP1,R,False,True,1174.0,1964.0,2854.0,1680.0,0.013910589386543,0.0378224546778441,0.003517780929822578,2856.0
1.0,347,270,R_11l,R,False,True,54.0,284.0,1052.0,998.0,1.7873611530456366e-05,0.008932694704234566,0.00040996947805815864,48.0
1.0,347,246,R_8Av,R,False,True,496.0,798.0,1180.0,684.0,0.0025460457952706907,0.0005403982797133903,0.0023060533625631763,714.0
1.0,383,23,L_A1,L,False,False,30.0,130.0,256.0,226.0,6.30638939512494,2.717352656626447e-06,0.29777351283169295,28.0
1.0,383,203,R_A1,R,False,False,32.0,142.0,304.0,272.0,7.19312318146459,1.1024292446178716e-06,0.29818887188417875,28.0
1.0,383,68,L_9m,L,True,False,542.0,876.0,1272.0,730.0,0.0023180008176720765,0.010794704115874732,0.00208838946586809,672.0
1.0,383,248,R_9m,R,True,False,538.0,808.0,1174.0,636.0,0.0013492293716880221,0.013308694739761158,0.0017161244479968474,716.0
1.0,383,64,L_10r,L,True,False,376.0,626.0,968.0,592.0,0.0007667879408997819,0.011839908280269047,0.0013797685304002272,536.0
1.0,383,244,R_10r,R,True,False,1306.0,2040.0,3066.0,1760.0,0.0004181767125616922,0.16545426392796847,0.0012790862469849174,1692.0
1.0,383,87,L_10v,L,True,False,266.0,632.0,1566.0,1300.0,6.731275353906691e-06,0.05133490831706872,0.00016183706075345583,390.0
1.0,383,267,R_10v,R,True,False,388.0,2020.0,3066.0,2678.0,0.00026699030080785095,0.1293139012048624,0.0009963703406299373,1712.0
1.0,383,62,L_8BM,L,True,False,750.0,2792.0,3318.0,2568.0,0.0036465051072040893,0.22908182372502311,0.003063755364166809,3448.0
1.0,383,242,R_8BM,R,True,False,728.0,1380.0,2044.0,1316.0,0.00040322392566958436,0.034895376819440084,0.001124692466676791,1344.0
1.0,383,163,L_25,L,True,False,2280.0,2820.0,3320.0,1040.0,0.00028667618130850524,0.21287727381801488,0.0012081132312005138,3372.0
1.0,383,343,R_25,R,True,False,444.0,696.0,1014.0,570.0,0.0003314942058538848,0.013990511803673512,0.0008992613438785213,540.0
1.0,383,311,R_TE1a,R,True,False,154.0,958.0,1974.0,1820.0,9.761350908514875e-05,0.024855360390482403,0.0007124943859064814,350.0
1.0,383,134,L_TF,L,True,False,238.0,560.0,2644.0,2406.0,1.9469379717208173e-05,0.0571806976885431,0.0002638843111979483,52.0
1.0,383,127,L_STSda,L,True,False,150.0,1008.0,3100.0,2950.0,9.980105534896516e-05,0.030837066037892113,0.0005942934960962987,376.0
1.0,383,160,L_31pd,L,False,True,278.0,458.0,972.0,694.0,0.0005977328967870152,0.03604085435734756,0.0014037401572615238,322.0
1.0,383,340,R_31pd,R,False,True,58.0,300.0,1210.0,1152.0,2.9618615528087376e-05,0.035761107798523324,0.0004983307753603228,48.0
