severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,broadband_first_half,broadband_second_half,broadband_split_abs_log2,fc_first_half_z,fc_second_half_z,fc_split_abs_z
0.0,37,2Hz,Semantic proxy,5,8.0,10.0,0.0002803093793681,0.0002796269842072,0.0002798951465104,0.0002797197671999,0.000904260638901,2.138305573280851,2.151920194861163,0.0136146215803116
0.0,37,2Hz,Episodic proxy,1,0.0,2.0,0.0005544236839496,0.0005529668488831,0.0005531386187625,0.0005530216394007,0.000305137604505,2.22734860663949,2.230485693725533,0.0031370870860429
0.0,37,2Hz,Episodic proxy,2,2.0,4.0,0.0005541110599958,0.0005528489620307,0.0005531386187625,0.0005530216394007,0.000305137604505,2.22734860663949,2.230485693725533,0.0031370870860429
0.0,37,2Hz,Episodic proxy,3,4.0,6.0,0.0005541139690434,0.000552851935226,0.0005531386187625,0.0005530216394007,0.000305137604505,2.22734860663949,2.230485693725533,0.0031370870860429
0.0,37,2Hz,Episodic proxy,4,6.0,8.0,0.0005541132798534,0.0005528512449924,0.0005531386187625,0.0005530216394007,0.000305137604505,2.22734860663949,2.230485693725533,0.0031370870860429
0.0,37,2Hz,Episodic proxy,5,8.0,10.0,0.0005541132951223,0.00055285125785,0.0005531386187625,0.0005530216394007,0.000305137604505,2.22734860663949,2.230485693725533,0.0031370870860429
0.0,37,5Hz,Semantic proxy,1,0.0,2.0,0.000388015699924,0.0003870324375672,0.000387391373259,0.0003873045313352,0.0003234466909712,1.298885266732479,1.299026851019628,0.000141584287149
0.0,37,5Hz,Semantic proxy,2,2.0,4.0,0.0003877806199554,0.0003869590133733,0.000387391373259,0.0003873045313352,0.0003234466909712,1.298885266732479,1.299026851019628,0.000141584287149
0.0,37,5Hz,Semantic proxy,3,4.0,6.0,0.0003877875208012,0.0003869680157487,0.000387391373259,0.0003873045313352,0.0003234466909712,1.298885266732479,1.299026851019628,0.000141584287149
0.0,37,5Hz,Semantic proxy,4,6.0,8.0,0.0003877871950343,0.0003869675657647,0.000387391373259,0.0003873045313352,0.0003234466909712,1.298885266732479,1.299026851019628,0.000141584287149
0.0,37,5Hz,Semantic proxy,5,8.0,10.0,0.0003877871950303,0.0003869675657603,0.000387391373259,0.0003873045313352,0.0003234466909712,1.298885266732479,1.299026851019628,0.000141584287149
0.0,37,5Hz,Episodic proxy,1,0.0,2.0,0.0007577839242122,0.0007562992300167,0.0007568154178656,0.0007567693311716,8.785638846791977e-05,1.3959970624507276,1.395805019649308,0.0001920428014194
