seed,probe,network,region_index,region_label,hemisphere,baseline_fc_z,evoked_fc_z,fc_change_z,fc_loss_z,baseline_phase_lag_rad,phase_lag_to_ipsilateral_a1_rad,phase_shift_rad,absolute_phase_shift_degrees,phase_interpretable,fit_r_squared,snr_db,phase_consistency,b_reduction,bilateral_a1_affinity,weighted_structural_strength
251,5Hz,Episodic proxy,206,R_PCV,R,1.4546954829931933,0.048652458043364,-1.4060430249498292,1.4060430249498292,0.4581288820682763,0.4155245909856514,-0.04260429108262487,2.4410460681812536,True,0.0013057296178302,7.940852053367186,0.2927918434813227,0.0085119708650266,0.0028979201343503,0.4978772669561057
251,5Hz,Episodic proxy,209,R_7m,R,1.452374326399006,0.0567442811729344,-1.3956300452260717,1.3956300452260717,0.459125524344344,0.2416143526616374,-0.21751117168270662,12.462472134364553,True,0.0017765993314011,9.73421134844984,0.2313135504630327,0.0016982948598265,0.0034081023972522,0.5125167675972011
251,5Hz,Episodic proxy,211,R_23d,R,1.3757034189948838,0.0426633369203062,-1.3330400820745776,1.3330400820745776,0.494318939403897,0.3744693171029384,-0.11984962230095858,6.866877534081917,True,0.0007364205063031,5.180723635562244,0.2113612146528132,0.002834890537027,0.0017838145144034,0.3914447895793526
251,5Hz,Episodic proxy,212,R_v23ab,R,1.429933130757131,0.0808986700663778,-1.3490344606907532,1.3490344606907532,0.4694043374669693,0.3247339016153488,-0.14467043585162048,8.289005394615968,True,0.0046876013512293,14.331182059034669,0.3978973165097045,0.0021667982828749,0.0029513768645444,0.3434514254393402
251,5Hz,Episodic proxy,214,R_31pv,R,1.3885080900568807,0.0507021061243711,-1.3378059839325096,1.3378059839325096,0.4883501611165216,0.3242533247486497,-0.16409683636787187,9.402056155327935,True,0.0012671428150579,8.046061301914083,0.305444138739918,0.0023325616679709,0.0020261682262484,0.3639335926169346
251,5Hz,Episodic proxy,270,R_11l,R,1.3859632961061696,0.0507273488163737,-1.3352359472897959,1.3352359472897959,0.4894499299606972,-1.1559345415941469,-1.645384471554844,94.27358589645581,True,0.0199822973423569,3.1695303905940317,0.4078538321242991,0.0478182963482998,0.0007513848313716,0.3931343964798985
251,5Hz,Episodic proxy,340,R_31pd,R,1.369276340369269,0.0334781778075753,-1.3357981625616937,1.3357981625616937,0.4973753607396196,-1.244675365311152,-1.7420507260507716,99.81215430040999,True,0.0178318354248735,7.677625649744645,0.3825945528865986,0.0499978310577967,0.001736122572907,0.3776903005063087
281,2Hz,Episodic proxy,29,L_7m,L,2.2592667811793987,0.0022571244864086,-2.2570096566929903,2.2570096566929903,0.2076124377497791,0.4673582024020128,0.2597457646522337,14.882336060971355,True,0.0001753949415819,6.655879113534469,0.2082179574877708,0.0123260948224382,0.0027272549411686,0.5191920960281471
281,2Hz,Episodic proxy,31,L_23d,L,2.2046802641786827,0.0125385013138952,-2.1921417628647877,2.1921417628647877,0.2190765435662272,0.3237500482038989,0.10467350463767172,5.997350042581639,True,0.0004267119680744,13.685201932713248,0.2089846766299249,0.004511444010534,0.0016362703771604,0.3738187730208542
281,2Hz,Episodic proxy,32,L_v23ab,L,2.2292778761921626,0.0131323518409246,-2.216145524351238,2.216145524351238,0.2139433509476545,0.371970744423024,0.15802739347536954,9.054302693591877,True,0.0004412495167531,10.046847013920528,0.2231206572371873,0.0081594664531512,0.0019809728303667,0.3711551027487709
281,2Hz,Episodic proxy,206,R_PCV,R,2.276435815419813,0.0200386745469314,-2.256397140872882,2.256397140872882,0.2041826405943475,0.3413675214461685,0.137184880851821,7.8601146858144055,True,0.0004694681177344,9.799976389151436,0.222827153557325,0.0085119708650266,0.0028979201343503,0.4978772669561057
281,2Hz,Episodic proxy,212,R_v23ab,R,2.2574566644485987,0.0484485128641802,-2.2090081515844187,2.2090081515844187,0.208188159739205,0.2288858448870502,0.020697685147845202,1.1858900046621375,True,0.0023626149098495,14.084220820993698,0.2528112765445642,0.0021667982828749,0.0029513768645444,0.3434514254393402
281,2Hz,Episodic proxy,270,R_11l,R,2.2232860420626266,0.2243563740524377,-1.998929668010189,1.998929668010189,0.2149673195794376,-0.0322982049752861,-0.24726552455472373,14.167270976074093,True,0.0510308462554475,2.3058666421054688,0.3472150546348543,0.0478182963482998,0.0007513848313716,0.3931343964798985
281,2Hz,Episodic proxy,340,R_31pd,R,2.2100965618739408,0.2094747771754373,-2.0006217846985033,2.0006217846985033,0.217925486921776,-0.0369811435978512,-0.2549066305196272,14.605074098675301,True,0.0453452985720361,8.052404023652137,0.5504895487867959,0.0499978310577967,0.001736122572907,0.3776903005063087
281,5Hz,Episodic proxy,32,L_v23ab,L,1.3933749559502866,0.0335027759249095,-1.359872180025377,1.359872180025377,0.4860904215299987,0.3705320412363704,-0.1155583802936283,6.621007478192644,True,0.001368348308936,8.147254127925699,0.2096106311788378,0.0081594664531512,0.0019809728303667,0.3711551027487709
281,5Hz,Episodic proxy,160,L_31pd,L,1.4111621917360708,0.0397935793120163,-1.3713686124240545,1.3713686124240545,0.4777540931325955,0.1470818905565781,-0.33067220257601737,18.946121609900782,True,0.0016174761408855,9.319719304815845,0.2517934150220489,0.0025615781019833,0.0023284787420079,0.4536094020251976
281,5Hz,Episodic proxy,209,R_7m,R,1.452373782732867,0.0494343860003188,-1.4029393967325483,1.4029393967325483,0.4591257221108241,0.2599780086493685,-0.1991477134614556,11.410323481022056,True,0.0024243134924919,10.427996489418945,0.2190212631701414,0.0016982948598265,0.0034081023972522,0.5125167675972011
281,5Hz,Episodic proxy,211,R_23d,R,1.375702704513696,0.0348384398156466,-1.3408642646980495,1.3408642646980495,0.4943193553277274,0.3822067051426036,-0.11211265018512385,6.4235816856341845,True,0.0013093261083448,10.020044588134002,0.2308970024543328,0.002834890537027,0.0017838145144034,0.3914447895793526
281,5Hz,Episodic proxy,212,R_v23ab,R,1.429932780419408,0.0787819866534282,-1.3511507937659797,1.3511507937659797,0.4694045081590581,0.3622760600995713,-0.1071284480594868,6.138007939595048,True,0.006462863963178,15.22232497110856,0.4289947094910757,0.0021667982828749,0.0029513768645444,0.3434514254393402
281,5Hz,Episodic proxy,214,R_31pv,R,1.3885078066617536,0.0430826752430344,-1.3454251314187191,1.3454251314187191,0.4883502870424449,0.2138552199117209,-0.27449506713072397,15.727408843750691,True,0.0017046228583414,9.089742365499625,0.2292347639307385,0.0023325616679709,0.0020261682262484,0.3639335926169346
281,5Hz,Episodic proxy,270,R_11l,R,1.385962887063089,0.2356562620233126,-1.1503066250397762,1.1503066250397762,0.4894504706992315,-0.7406533426697645,-1.2301038133689959,70.47975686899176,True,0.1006857546308528,5.469551960884229,0.4786874760001304,0.0478182963482998,0.0007513848313716,0.3931343964798985
281,5Hz,Episodic proxy,340,R_31pd,R,1.3692757418625066,0.1432793604332043,-1.2259963814293022,1.2259963814293022,0.4973756572192035,-0.9563510662896916,-1.453726723508895,83.29240582244124,True,0.0654240356435823,9.181820703051786,0.5440210108573593,0.0499978310577967,0.001736122572907,0.3776903005063087
313,2Hz,Episodic proxy,270,R_11l,R,2.2232919167678964,0.1568649298463346,-2.0664269869215617,2.0664269869215617,0.2149683614713848,-0.0397490198941306,-0.25471738136551536,14.594230920868272,True,0.0258511896214007,2.983378398515113,0.3690540758537433,0.0478182963482998,0.0007513848313716,0.3931343964798985
313,2Hz,Episodic proxy,340,R_31pd,R,2.210106945491411,0.07553860467515,-2.1345683408162612,2.1345683408162612,0.2179263445137413,-0.0113133610878186,-0.2292397056015599,13.13446762779088,True,0.008024379296614,8.486736352517614,0.6743972361427594,0.0499978310577967,0.001736122572907,0.3776903005063087
313,5Hz,Episodic proxy,26,L_PCV,L,1.4509690402990882,0.0110893475478712,-1.439879692751217,1.439879692751217,0.4598231628158724,-2.844508846942724,2.97885329742099,170.67572173085128,True,1.0154457664390826e-05,1.303269500615991,0.3153280614392012,0.0211169426099371,0.0037443506485766,0.4882032280826287
313,5Hz,Episodic proxy,29,L_7m,L,1.4326148750456629,0.032561436950173,-1.4000534380954899,1.4000534380954899,0.4679325305516215,0.1425943611813633,-0.32533816937025817,18.640504019428146,True,0.0005274494410707,8.121145163556713,0.257203085048503,0.0123260948224382,0.0027272549411686,0.5191920960281471
