severity,probe,network,signal,frequency_hz,median_power,minimum_power,maximum_power,numerical_initializations,log10_median_power,severity_label,series
0.0,2Hz,Episodic proxy,Control,6.0,8.07495810400915e-13,7.119387635377261e-13,9.480230597339088e-13,20,-12.092859722277954,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,6.1000000000000005,8.391773966645948e-13,7.426947873282652e-13,9.814212537814731e-13,20,-12.07614622242656,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,6.2,8.7264556709241e-13,7.752280552065678e-13,1.0165606773716012e-12,20,-12.059162113123088,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,6.300000000000001,9.090807298488515e-13,8.106771095824546e-13,1.0549030304284645e-12,20,-12.041397548052972,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,6.4,9.471949904641777e-13,8.477310328131806e-13,1.094850953447202e-12,20,-12.023560607516762,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,6.5,9.872960699321356e-13,8.867682277724815e-13,1.136731874997638e-12,20,-12.00555259175147,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,6.6000000000000005,1.0297514893816838e-12,9.280362594921924e-13,1.1811175387626867e-12,20,-11.987267571229006,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,6.7,1.0746322902299246e-12,9.716680424122718e-13,1.2279384443187414e-12,20,-11.968740114020454,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,6.800000000000001,1.123678635040693e-12,1.0192759875587896e-12,1.2793417680501209e-12,20,-11.94935787647536,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,6.9,1.1755346777945711e-12,1.0697201397979353e-12,1.3336241932522939e-12,20,-11.929764554839606,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,7.0,1.230879833517686e-12,1.1237578602058384e-12,1.3913768528621627e-12,20,-11.909784343646704,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,7.1000000000000005,1.2897509625801487e-12,1.1812331809068907e-12,1.452760535443133e-12,20,-11.889494139327427,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,7.2,1.3516717168651539e-12,1.2418523484256444e-12,1.5169272120047859e-12,20,-11.869128773531868,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,7.300000000000001,1.4189492423977476e-12,1.307630886476422e-12,1.5868921659249794e-12,20,-11.848033139525496,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,7.4,1.4909739572984372e-12,1.3780183883044385e-12,1.6618155627938282e-12,20,-11.826529942261532,0.0,Control · Episodic proxy
